approach,policy,mean_estimate,rmse,std,true_value
hybrid_divergence_variance_budget_1500_batch_single,Uniform,0.4597690111964824,0.004261876842687987,0.004255612575750946,0.46
hybrid_divergence_variance_budget_1500_batch_single,Suboptimal,0.6016161719733893,0.006375597909468202,0.006167352499707313,0.6
hybrid_divergence_variance_budget_2000_batch_single,State-Optimal,0.8654346297673774,0.005229577788569779,0.005082378274537598,0.8666666666666667
hybrid_divergence_variance_budget_2000_batch_single,Uniform,0.46020902937715513,0.004267533022715555,0.0042624106816980855,0.46
hybrid_divergence_variance_budget_2000_batch_single,Suboptimal,0.6013049906009477,0.006547833059389188,0.006416472341175347,0.6
hybrid_divergence_variance_budget_3000_batch_single,State-Optimal,0.8651755775975656,0.005346533956031004,0.00513440149686404,0.8666666666666667
hybrid_divergence_variance_budget_3000_batch_single,Uniform,0.4596998517720017,0.0032827464353608273,0.0032689960538525705,0.46
hybrid_divergence_variance_budget_3000_batch_single,Suboptimal,0.6015510433084146,0.006088786757953817,0.005887918888644443,0.6
uniform_random_budget_0,State-Optimal,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.8666666666666667
uniform_random_budget_0,Uniform,0.459473886114519,0.007384902043871775,0.00736613754806992,0.46
uniform_random_budget_0,Suboptimal,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.6
uniform_random_budget_500,State-Optimal,0.8650789658594562,0.009353784427338255,0.009218052357190178,0.8666666666666667
uniform_random_budget_500,Uniform,0.45979008792094944,0.004914819083033526,0.004910334361122385,0.46
uniform_random_budget_500,Suboptimal,0.6017477714940705,0.007615585365842892,0.007412316457690857,0.6
uniform_random_budget_1000,State-Optimal,0.8655160100717467,0.008327249818774805,0.00824736800105658,0.8666666666666667
uniform_random_budget_1000,Uniform,0.45991413505880174,0.00405511825964205,0.0040542090858212265,0.46
uniform_random_budget_1000,Suboptimal,0.6015290452931139,0.0065275188964361505,0.006345906037354871,0.6
uniform_random_budget_1500,State-Optimal,0.8651916907366882,0.007503389614333501,0.0073569899898308835,0.8666666666666667
uniform_random_budget_1500,Uniform,0.45978803742313445,0.003289830577185731,0.003282995140507323,0.46
uniform_random_budget_1500,Suboptimal,0.6012772237849442,0.006216147093480312,0.006083517411083517,0.6
uniform_random_budget_2000,State-Optimal,0.8651699878318267,0.0071438908661624724,0.006985351041499772,0.8666666666666667
uniform_random_budget_2000,Uniform,0.4597959433397293,0.0030100040296059632,0.0030030792759504783,0.46
uniform_random_budget_2000,Suboptimal,0.6015213314300408,0.005833263029079025,0.005631385996927393,0.6
uniform_random_budget_3000,State-Optimal,0.8653263337575501,0.006368346458679,0.006225700306833645,0.8666666666666667
uniform_random_budget_3000,Uniform,0.45959552564671824,0.0025749593850609214,0.002542993576918868,0.46
uniform_random_budget_3000,Suboptimal,0.6010880685037022,0.005523391265095575,0.005415160015972305,0.6
